Date;Time;"Celle 5: Lufttemperatur";"Celle 5: Endelig fælles varme sætpunkt";"Celle 5: Vent. position 1";"Celle 5: Vent. position 2";"Celle 5: Luftfugtighed RH%";"Celle 5: Luftfugtighed VPD";"Celle 5: CO2";"Celle 5: CO2 krav";"Celle 5: CO2 dosering";"Celle 5: ";"Celle 5: ";"Celle 5: Lys intensitet";"Celle 5: Gardin 1 position";"Celle 5: Solindstråling";"Celle 5: Udetemperatur";"Celle 5: Flow temperatur 1";"Celle 5: Flow temperatur 2"
2014-02-01;00:00:00;"20.9819";"21";"0";"0";"33.6924";"16.5543";"533.555";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.0848";"51.7496";"42.4082"
2014-02-01;00:10:00;"20.949";"21";"0";"0";"33.9617";"16.4518";"511.948";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.0848";"51.5493";"42.3219"
2014-02-01;00:20:00;"20.9002";"21";"0";"0";"34.1402";"16.355";"490.097";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.0848";"52.7808";"44.2187"
2014-02-01;00:30:00;"20.8821";"21";"0";"0";"34.0405";"16.3589";"463.485";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.0848";"52.2282";"44.0825"
2014-02-01;00:40:00;"20.8679";"21";"0";"0";"33.9843";"16.3589";"450.423";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.10379";"53.506";"44.5464"
2014-02-01;00:50:00;"20.8822";"21";"0";"0";"33.6888";"16.4446";"437.85";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.19873";"54.522";"45.7063"
2014-02-01;01:00:00;"20.9497";"21";"0";"0";"33.4971";"16.5639";"422.713";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.19873";"53.447";"45.3089"
2014-02-01;01:10:00;"21.0129";"21";"0";"0";"33.3237";"16.6769";"411.116";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.19873";"53.9538";"45.0086"
2014-02-01;01:20:00;"21.0455";"21";"0";"0";"33.3829";"16.6986";"404.891";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.19873";"52.8525";"44.2731"
2014-02-01;01:30:00;"21.0606";"21";"0";"0";"33.421";"16.701";"391.951";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.19873";"53.8759";"44.3412"
2014-02-01;01:40:00;"21.0914";"21";"0";"0";"33.3623";"16.7544";"379.255";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.15126";"52.4644";"43.4631"
2014-02-01;01:50:00;"21.0729";"21";"0";"0";"33.4461";"16.7129";"375.593";"350";"0";"0";"0";"0";"100";"0.000100083";"-3.04682";"51.9141";"42.7961"
2014-02-01;02:00:00;"21.0737";"21";"0";"0";"33.5566";"16.678";"369.001";"650";"0.416667";"0.75";"0";"0";"100";"0.000100083";"-2.93289";"52.215";"43.0382"
