Date;Time;"Celle 5: Lufttemperatur";"Celle 5: Endelig fælles varme sætpunkt";"Celle 5: Vent. position 1";"Celle 5: Vent. position 2";"Celle 5: Luftfugtighed RH%";"Celle 5: Luftfugtighed VPD";"Celle 5: CO2";"Celle 5: CO2 krav";"Celle 5: CO2 dosering";"Celle 5: ";"Celle 5: ";"Celle 5: Lys intensitet";"Celle 5: Gardin 1 position";"Celle 5: Solindstråling";"Celle 5: Udetemperatur";"Celle 5: Flow temperatur 1";"Celle 5: Flow temperatur 2"
2014-01-01;04:30:00;;;;;;;;;;;;;;;;;
2014-01-01;04:40:00;;;;;;;;;;;;;;;;;
2014-01-01;04:50:00;;;;;;;;;;;;;;;;;
2014-01-01;05:00:00;;;;;;;;;;;;;;;;;
2014-01-01;05:10:00;;;;;;;;;;;;;;;;;
2014-01-01;05:20:00;;;;;;;;;;;;;;;;;
2014-01-01;05:30:00;;;;;;;;;;;;;;;;;
2014-01-01;05:40:00;;;;;;;;;;;;;;;;;
2014-01-01;05:50:00;;;;;;;;;;;;;;;;;
2014-01-01;06:00:00;;;;;;;;;;;;;;;;;
2014-01-01;06:10:00;;;;;;;;;;;;;;;;;
2014-01-01;06:20:00;;;;;;;;;;;;;;;;;
2014-01-01;06:30:00;;;;;;;;;;;;;;;;;
2014-01-01;06:40:00;;;;;;;;;;;;;;;;;
2014-01-01;06:50:00;;;;;;;;;;;;;;;;;
2014-01-01;07:00:00;;;;;;;;;;;;;;;;;
2014-01-01;07:10:00;;;;;;;;;;;;;;;;;
2014-01-01;07:20:00;;;;;;;;;;;;;;;;;
2014-01-01;07:30:00;;;;;;;;;;;;;;;;;
2014-01-01;07:40:00;;;;;;;;;;;;;;;;;
2014-01-01;07:50:00;;;;;;;;;;;;;;;;;
2014-01-01;08:00:00;;;;;;;;;;;;;;;;;
2014-01-01;08:10:00;;;;;;;;;;;;;;;;;
2014-01-01;08:20:00;;;;;;;;;;;;;;;;;
2014-01-01;08:30:00;;;;;;;;;;;;;;;;;
2014-01-01;08:40:00;;;;;;;;;;;;;;;;;
2014-01-01;08:50:00;;;;;;;;;;;;;;;;;
2014-01-01;09:00:00;;;;;;;;;;;;;;;;;
2014-01-01;09:10:00;;;;;;;;;;;;;;;;;
2014-01-01;09:20:00;;;;;;;;;;;;;;;;;
