Date;Time;"Celle 5: Lufttemperatur";"Celle 5: Endelig fælles varme sætpunkt";"Celle 5: Vent. position 1";"Celle 5: Vent. position 2";"Celle 5: Luftfugtighed RH%";"Celle 5: Luftfugtighed VPD";"Celle 5: CO2";"Celle 5: CO2 krav";"Celle 5: CO2 dosering";"Celle 5: ";"Celle 5: ";"Celle 5: Lys intensitet";"Celle 5: Gardin 1 position";"Celle 5: Solindstråling";"Celle 5: Udetemperatur";"Celle 5: Flow temperatur 1";"Celle 5: Flow temperatur 2"
2014-04-01;00:00:00;"20.8991";"21";"0";"0";"53.1969";"11.6103";"685.656";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.15081";"41.7821";"51.8318"
2014-04-01;00:10:00;"21.1918";"21";"0";"0";"52.8714";"11.9181";"659.045";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.21883";"40.893";"48.8629"
2014-04-01;00:20:00;"21.4163";"21";"0";"0";"53.0201";"12.0547";"641.222";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.44837";"40.3508";"44.3426"
2014-04-01;00:30:00;"21.5083";"21";"0";"0";"53.4804";"12.0089";"617.174";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.47388";"39.7296";"41.7735"
2014-04-01;00:40:00;"21.4795";"21";"0";"0";"54.0835";"11.8326";"595.933";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.6014";"39.8402";"39.3875"
2014-04-01;00:50:00;"21.3912";"21";"0";"0";"54.6368";"11.6268";"577.379";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.71193";"39.8717";"37.1371"
2014-04-01;01:00:00;"21.226";"21";"0";"0";"55.1187";"11.3872";"560.044";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.68642";"39.4296";"35.2525"
2014-04-01;01:10:00;"21.0491";"21";"0";"0";"55.7537";"11.0977";"544.053";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.79695";"39.4533";"33.6654"
2014-04-01;01:20:00;"20.9128";"21";"0";"0";"56.6956";"10.7674";"529.77";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.90747";"39.2585";"32.7626"
2014-04-01;01:30:00;"20.7584";"21";"0";"0";"58.01";"10.3342";"517.685";"350";"0";"0";"0";"0";"100";"8.94135e-009";"3.95848";"39.4954";"38.1662"
2014-04-01;01:40:00;"20.7133";"21";"0";"0";"57.7789";"10.3559";"501.816";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.0605";"39.5717";"39.6375"
2014-04-01;01:50:00;"20.727";"21";"0";"0";"57.5143";"10.4283";"495.102";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.10301";"39.6928";"41.5663"
2014-04-01;02:00:00;"20.801";"21";"0";"0";"57.1139";"10.5786";"483.505";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.12851";"39.4033";"43.1455"
2014-04-01;02:10:00;"20.9118";"21";"0";"0";"57.1936";"10.636";"474.838";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.20503";"39.748";"42.8075"
2014-04-01;02:20:00;"21.0293";"21";"0";"0";"57.2038";"10.7136";"462.387";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.28155";"39.3269";"41.653"
2014-04-01;02:30:00;"21.1197";"21";"0";"0";"57.2212";"10.7736";"452.743";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.28155";"39.5585";"40.0139"
2014-04-01;02:40:00;"21.1483";"21";"0";"0";"57.2987";"10.774";"445.907";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.28155";"39.5612";"38.7637"
2014-04-01;02:50:00;"21.135";"21";"0";"0";"57.4629";"10.7242";"438.827";"350";"0";"0";"0";"0";"100";"8.94135e-009";"4.31555";"39.498";"37.8556"
2014-04-01;03:00:00;"21.1968";"21";"0";"0";"57.5345";"10.7435";"438.582";"687.5";"0.416667";"0.75";"0.75";"0";"100";"8.94135e-009";"4.38357";"39.4506";"36.2975"
2014-04-01;03:10:00;"21.5798";"21";"0";"0";"56.9754";"11.149";"481.43";"800";"1";"1";"1";"0";"100";"8.94135e-009";"4.46008";"38.0557";"34.0339"
2014-04-01;03:20:00;"21.9728";"21";"0";"0";"56.8749";"11.4504";"525.62";"800";"1";"1";"1";"0";"100";"8.94135e-009";"4.40057";"33.9313";"32.9206"
2014-04-01;03:30:00;"22.1676";"21";"0";"0";"57.5144";"11.4174";"632.677";"800";"1";"1";"1";"0";"100";"8.94135e-009";"4.30705";"32.6837";"32.002"
2014-04-01;03:40:00;"22.1939";"21";"0";"0";"58.1107";"11.2765";"702.38";"800";"1";"1";"1";"0";"100";"8.94135e-009";"4.28155";"31.673";"31.3782"
2014-04-01;03:50:00;"22.082";"21";"0";"0";"59.04";"10.9559";"775.135";"800";"1";"1";"1";"0";"100";"8.94135e-009";"4.28155";"31.0045";"30.8202"
2014-04-01;04:00:00;"21.9138";"21";"0";"0";"59.7126";"10.6653";"852.163";"800";"0.916667";"1";"1";"0";"100";"8.94135e-009";"4.34106";"30.3728";"30.3201"
2014-04-01;04:10:00;"21.8046";"21";"0";"0";"59.9587";"10.528";"912.589";"800";"0.5";"1";"1";"0";"100";"8.94135e-009";"4.38357";"29.7621";"29.8595"
2014-04-01;04:20:00;"21.697";"21";"0";"0";"60.2829";"10.3767";"921.012";"800";"0.166667";"1";"1";"0";"100";"8.94135e-009";"4.38357";"29.1936";"29.4068"
2014-04-01;04:30:00;"21.5347";"21";"0";"0";"61.1249";"10.0536";"897.696";"800";"0";"1";"1";"0";"100";"8.94135e-009";"4.38357";"28.6909";"28.9883"
2014-04-01;04:40:00;"21.3903";"21";"0";"0";"60.8185";"10.041";"853.75";"800";"0";"1";"1";"0";"100";"8.94135e-009";"4.38357";"28.2198";"28.5751"
2014-04-01;04:50:00;"21.2465";"21";"0";"0";"60.7072";"9.97784";"811.757";"800";"0.0833333";"1";"1";"0";"100";"8.94135e-009";"4.32405";"27.7802";"28.1698"
2014-04-01;05:00:00;"21.081";"21";"0";"0";"60.7469";"9.86348";"776.478";"800";"0.166667";"1";"1";"0";"100";"8.94135e-009";"4.32405";"27.187";"27.7907"
2014-04-01;05:10:00;"20.9434";"21";"0";"0";"60.8799";"9.74248";"757.801";"800";"0.166667";"1";"1";"0";"100";"8.94135e-009";"4.38357";"25.8855";"27.4229"
2014-04-01;05:20:00;"20.8286";"21";"0";"0";"61.3389";"9.55724";"743.275";"800";"0.25";"1";"1";"0";"100";"8.94135e-009";"4.45158";"25.4854";"27.0243"
2014-04-01;05:30:00;"20.7428";"21";"0";"0";"62.4024";"9.24309";"742.176";"800";"0.583333";"1";"1";"0";"100";"8.94135e-009";"4.48559";"28.8556";"26.5991"
2014-04-01;05:40:00;"20.7343";"21";"0";"0";"64.0662";"8.82679";"761.83";"800";"0.666667";"1";"1";"0";"100";"8.94135e-009";"4.57061";"30.0675";"26.1846"
2014-04-01;05:50:00;"20.7442";"21";"0";"0";"65.8166";"8.40667";"785.389";"800";"0.833333";"1";"1";"0";"100";"8.94135e-009";"4.58761";"33.0969";"25.8026"
2014-04-01;06:00:00;"20.8119";"21";"0";"0";"65.6623";"8.47303";"797.108";"800";"0.666667";"1";"1";"0";"100";"8.94135e-009";"4.63862";"34.3734";"25.4422"
2014-04-01;06:10:00;"20.9203";"21";"0";"0";"62.9581";"9.19597";"805.165";"800";"0.75";"1";"1";"0";"100";"8.94135e-009";"4.68963";"34.1445";"25.1106"
2014-04-01;06:20:00;"21.0616";"21";"0";"0";"60.2685";"9.9608";"823.964";"800";"0.75";"1";"1";"0";"100";"8.94135e-009";"4.73214";"32.1836";"24.8367"
2014-04-01;06:30:00;"21.159";"21";"0";"0";"59.9701";"10.1055";"860.83";"800";"0.666667";"1";"1";"0";"99.1697";"8.94135e-009";"4.79165";"29.9859";"24.6169"
2014-04-01;06:40:00;"21.0021";"21";"0";"0";"61.2207";"9.70954";"921.378";"800";"0.333333";"1";"1";"0";"88.1545";"8.94135e-009";"4.71514";"34.1832";"24.3069"
2014-04-01;06:50:00;"20.6179";"21";"0";"0";"62.1301";"9.23292";"926.017";"800";"0.0833333";"1";"1";"0";"85.054";"8.94135e-009";"4.5621";"39.4804";"23.0347"
2014-04-01;07:00:00;"20.5787";"21";"0";"0";"61.2353";"9.42016";"856.435";"800";"0";"1";"1";"0";"85.054";"8.94135e-009";"4.48559";"40.0902";"23.5645"
2014-04-01;07:10:00;"20.6847";"21";"0";"0";"60.3482";"9.70087";"818.959";"800";"0.0833333";"1";"1";"0";"85.054";"8.94135e-009";"4.41757";"40.793";"25.4963"
2014-04-01;07:20:00;"20.8415";"21";"0";"0";"59.6926";"9.96938";"786.854";"800";"0.25";"1";"1";"0";"85.054";"5.5485e-005";"4.25604";"40.2929";"26.2315"
2014-04-01;07:30:00;"20.9033";"21";"0";"0";"59.4986";"10.0585";"762.806";"800";"0.166667";"1";"1";"0";"85.054";"2.51467";"3.95848";"40.535";"27.0572"
2014-04-01;07:40:00;"21.0019";"21";"0";"0";"59.0926";"10.2216";"747.425";"800";"0.416667";"1";"1";"6.16667";"85.054";"11.3817";"3.75444";"40.7956";"27.3142"
2014-04-01;07:50:00;"21.15";"21";"0";"0";"58.4372";"10.4862";"739.002";"800";"0.583333";"1";"1";"4.83333";"84.0117";"13.1953";"3.66942";"40.5429";"26.0152"
2014-04-01;08:00:00;"21.1157";"21";"0";"0";"55.4544";"11.2158";"740.223";"800";"0.666667";"1";"1";"10.25";"46.2457";"14.8369";"3.67792";"39.7349";"26.5157"
2014-04-01;08:10:00;"20.7557";"21";"0";"0";"56.1882";"10.7843";"764.149";"800";"0.833333";"1";"1";"21.0833";"1.15183";"19.9052";"3.75444";"39.7138";"33.8207"
2014-04-01;08:20:00;"20.7658";"21";"0";"0";"56.9918";"10.585";"810.781";"800";"0.75";"1";"1";"33.1667";"0";"26.1228";"3.81395";"39.7796";"30.607"
2014-04-01;08:30:00;"20.9717";"21";"0";"0";"56.9566";"10.7332";"845.205";"800";"0.583333";"1";"1";"44.4167";"0";"30.9648";"3.93297";"39.4164";"28.6856"
2014-04-01;08:40:00;"21.1346";"21";"0";"0";"56.7847";"10.8927";"859.854";"800";"0.5";"1";"1";"43.4167";"0";"35.137";"4.09451";"39.4638";"28.4119"
