Date;Time;"Celle 5: Lufttemperatur";"Celle 5: Endelig fælles varme sætpunkt";"Celle 5: Vent. position 1";"Celle 5: Vent. position 2";"Celle 5: Luftfugtighed RH%";"Celle 5: Luftfugtighed VPD";"Celle 5: CO2";"Celle 5: CO2 krav";"Celle 5: CO2 dosering";"Celle 5: ";"Celle 5: ";"Celle 5: Lys intensitet";"Celle 5: Gardin 1 position";"Celle 5: Solindstråling";"Celle 5: Udetemperatur";"Celle 5: Flow temperatur 1";"Celle 5: Flow temperatur 2"
2014-06-01;00:00:00;"17.9089";"5";"0";"0";"61.1761";"8.02143";"277.813";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.4798";"20.6237";"20.357"
2014-06-01;00:10:00;"17.818";"5";"0";"0";"61.5572";"7.89802";"280.499";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.3768";"20.4903";"20.0002"
2014-06-01;00:20:00;"17.7182";"5";"0";"0";"61.9815";"7.76263";"281.353";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.2896";"20.3354";"19.874"
2014-06-01;00:30:00;"17.6409";"5";"0";"0";"62.3201";"7.65302";"281.476";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.2896";"20.1912";"19.7875"
2014-06-01;00:40:00;"17.5712";"5";"0";"0";"62.6267";"7.55812";"280.621";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.2896";"20.0542";"19.7047"
2014-06-01;00:50:00;"17.5075";"5";"0";"0";"62.9173";"7.46765";"280.987";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.2183";"19.9137";"19.6362"
2014-06-01;01:00:00;"17.4344";"5";"0";"0";"63.2325";"7.36979";"287.335";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.1549";"19.7839";"19.5929"
2014-06-01;01:10:00;"17.3661";"5";"0";"0";"63.5463";"7.27466";"286.114";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.6614";"19.5389"
2014-06-01;01:20:00;"17.3195";"5";"0";"0";"63.7591";"7.21056";"284.161";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.5389";"19.492"
2014-06-01;01:30:00;"17.2618";"5";"0";"0";"64.0069";"7.1335";"285.138";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.4235";"19.4308"
2014-06-01;01:40:00;"17.2032";"5";"0";"0";"64.2319";"7.0618";"283.673";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.319";"19.3731"
2014-06-01;01:50:00;"17.1513";"5";"0";"0";"64.445";"6.99602";"287.823";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.2109";"19.3082"
2014-06-01;02:00:00;"17.093";"5";"0";"0";"64.6952";"6.91962";"286.114";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0995";"19.1316";"19.2361"
2014-06-01;02:10:00;"17.0605";"5";"0";"0";"64.8893";"6.86626";"287.457";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"11.0599";"19.0487";"19.1749"
2014-06-01;02:20:00;"17.0284";"5";"0";"0";"65.0955";"6.81212";"290.753";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.9568";"18.9658";"19.1172"
2014-06-01;02:30:00;"16.9889";"5";"0";"0";"65.3822";"6.73811";"294.781";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.9093";"18.8902";"19.0559"
2014-06-01;02:40:00;"16.9522";"5";"0";"0";"65.6533";"6.66907";"303.204";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.8776";"18.8217";"18.9947"
2014-06-01;02:50:00;"16.9115";"5";"0";"0";"65.9595";"6.5911";"310.773";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.8142";"18.764";"18.9334"
2014-06-01;03:00:00;"16.8811";"5";"0";"0";"66.1909";"6.533";"324.811";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.8063";"18.7064";"18.8685"
2014-06-01;03:10:00;"16.8258";"5";"0";"0";"66.5012";"6.44907";"333.6";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.7271";"18.6343";"18.8145"
2014-06-01;03:20:00;"16.8133";"5";"0";"0";"66.6991";"6.40575";"352.399";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.7191";"18.5802";"18.7604"
2014-06-01;03:30:00;"16.7895";"5";"0";"0";"66.9241";"6.35194";"362.776";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.7191";"18.5226";"18.7136"
2014-06-01;03:40:00;"16.7453";"5";"0";"0";"67.2025";"6.27924";"372.663";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.6716";"18.4721";"18.6559"
2014-06-01;03:50:00;"16.7097";"5";"0";"0";"67.4696";"6.21452";"385.115";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.6241";"18.4216";"18.6018"
2014-06-01;04:00:00;"16.675";"5";"0";"0";"67.7063";"6.15381";"400.74";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.6241";"18.3748";"18.555"
2014-06-01;04:10:00;"16.6233";"5";"0";"0";"68.0116";"6.07384";"409.163";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.6161";"18.3207";"18.5117"
2014-06-01;04:20:00;"16.612";"5";"0";"0";"68.1838";"6.03649";"421.736";"350";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.5369";"18.2631";"18.4613"
2014-06-01;04:30:00;"16.5714";"5";"0";"0";"68.4432";"5.97118";"424.91";"500";"0";"0";"0";"0";"80.03";"1.05177e-007";"10.529";"18.2162";"18.4252"
2014-06-01;04:40:00;"16.5308";"5";"0";"0";"68.6852";"5.91009";"431.014";"800";"0";"0";"0";"0";"58.1233";"1.05177e-007";"10.529";"18.1622";"18.3748"
2014-06-01;04:50:00;"16.3205";"5";"0";"0";"69.4349";"5.6858";"438.216";"800";"0";"0";"0";"0";"0";"1.05177e-007";"10.529";"18.1189";"18.3171"
2014-06-01;05:00:00;"16.1999";"5";"0";"0";"70.1674";"5.50257";"442.611";"800";"0";"0";"0";"0";"0";"1.05177e-007";"10.529";"18.0576";"18.227"
2014-06-01;05:10:00;"16.163";"5";"0";"0";"70.4901";"5.42696";"442.245";"800";"0";"0";"0";"0";"0";"1.05177e-007";"10.529";"17.9964";"18.1622"
