generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
10,1000,0.0,,6232.595748095144,100
20,2000,0.0,,5050.71855013515,100
30,3000,0.0,,5123.59723239407,100
40,4000,0.0,,7254.058524689337,100
50,5000,0.0,,5993.930256286087,100
60,6000,0.0,,5876.206602826897,100
70,7000,0.0,,7556.2142500473465,100
80,8000,0.0,,7594.35843420619,100
90,9000,0.0,,5713.820081721675,100
100,10000,0.0,,5556.2458605810825,100
110,11000,0.0,,5382.682395866534,100
120,12000,0.0,,5616.151090157465,100
130,13000,0.0,,5524.060143755334,100
140,14000,0.0,,5548.048245928795,100
150,15000,0.0,,7359.9563333312535,100
160,16000,0.0,,9221.164522459738,100
170,17000,0.0,,4960.549681545471,100
180,18000,0.0,,6951.566802846252,100
190,19000,0.0,,7652.82903214462,100
200,20000,0.0,,7198.678735439265,100
210,21000,0.0,,5730.994369388189,100
220,22000,0.0,,5744.367732211964,100
230,23000,0.0,,6135.372158744742,100
240,24000,0.0,,6417.850377015149,100
250,25000,0.0,,7644.240502375218,100
260,26000,0.0,,7443.962407488736,100
270,27000,0.0,,7368.929924078687,100
280,28000,0.0,,7032.4934173954,100
290,29000,0.0,,8225.561471768882,100
300,30000,0.0,,7946.231033540712,100
310,31000,0.0,,5797.8471043251675,100
320,32000,0.0,,7333.122293173953,100
330,33000,0.0,,7728.245088742079,100
340,34000,0.0,,6044.81842543885,100
350,35000,0.0,,7541.138551219813,100
360,36000,0.0,,6430.825686625806,100
370,37000,0.0,,6677.640449767313,100
380,38000,0.0,,4653.190980816682,100
390,39000,0.0,,4982.187976374354,100
400,40000,0.0,,5860.25372046517,100
410,41000,0.0,,6377.796896131276,100
420,42000,0.0,,7244.075183594358,100
430,43000,0.0,,5928.740331904502,100
440,44000,0.0,,7729.761962186859,100
450,45000,0.0,,8351.666516907722,100
460,46000,0.0,,5100.68989429872,100
470,47000,0.0,,6115.013147838466,100
480,48000,0.0,,7021.3215697884725,100
490,49000,0.0,,6995.870724837725,100
500,50000,0.0,,8006.945115161952,100
