generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
0,100,2.1966338322428762,,0.07341103852247358,100
10,1100,2.419378480146453,,0.09443179568187746,100
20,2100,2.2482630989761567,,0.0849316023270067,100
30,3100,2.545794425356639,,0.08782767410044022,100
40,4100,2.44081174796196,,0.07971475663850593,100
50,5100,2.5038510367913926,,0.06477156053832388,100
60,6100,2.628576543829514,,0.0718334501414694,100
70,7100,2.7806918560296916,,0.08461545589199496,100
80,8100,2.9116030494383986,,0.07571445763709454,100
90,9100,2.8321181507158695,,0.0782960400764741,100
100,10100,2.927795118536836,,0.08448212981099482,100
110,11100,2.7086977233379947,,0.09229826948824453,100
120,12100,2.6811180267055827,,0.07979240618622101,100
130,13100,2.8143056093472616,,0.10104561030299922,100
140,14100,2.940947591723475,,0.11402229239930885,100
150,15100,3.0615521436765745,,0.11152873719477882,100
160,16100,3.1959168918436585,,0.10247481333592648,100
170,17100,3.1154668445324245,,0.08982467037723162,100
180,18100,3.272158921656871,,0.11993098698385131,100
190,19100,3.151974034907358,,0.1333657759611333,100
200,20100,3.1436690944356593,,0.10074465401364127,100
210,21100,2.888708290299352,,0.09533568096827855,100
220,22100,2.901318369268449,,0.08404546105007626,100
230,23100,2.6184646206664364,,0.07992737346609506,100
240,24100,2.496571941937979,,0.06960019729961227,100
250,25100,2.6336928947636506,,0.0681554622693668,100
260,26100,2.6241055464842455,,0.07103759743984935,100
270,27100,2.8377135748300315,,0.08238513100005966,100
280,28100,2.7951078575650214,,0.08930721285663396,100
290,29100,2.523335575645596,,0.06914339323958327,100
300,30100,2.5306711349793103,,0.05789181231890478,100
310,31100,2.4898851844658347,,0.07214093841461221,100
320,32100,2.3060591004660047,,0.0681979321060517,100
330,33100,2.335456254623328,,0.05185617856077662,100
340,34100,2.398237481948875,,0.06008067707512094,100
350,35100,2.571884403304248,,0.06702864927752356,100
360,36100,2.6617035742766615,,0.08081479592002554,100
370,37100,2.738486646102343,,0.057114016265663425,100
380,38100,2.660907667025871,,0.05859025429951222,100
390,39100,2.774287294093109,,0.06406822400844442,100
400,40100,2.8600588719168747,,0.06551870201712029,100
410,41100,2.9573866323100484,,0.07845016780172269,100
420,42100,3.191792929544237,,0.09810156609865976,100
430,43100,3.452786681255015,,0.11226369014149956,100
440,44100,3.5502655908374154,,0.11716159318024473,100
450,45100,3.4886638982226583,,0.12355968791008022,100
460,46100,3.4319733933298546,,0.11227260996885446,100
470,47100,3.3946322156196342,,0.11091739528661168,100
480,48100,3.2465589326522726,,0.14575890654834806,100
490,49100,3.25157460027235,,0.1437616926627967,100
