generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
10,1000,0.0,,6232.595748095144,100
20,2000,0.0,,6321.797857972048,100
30,3000,0.0,,6983.036145672904,100
40,4000,0.0,,6628.784678928423,100
50,5000,0.0,,6110.854387556047,100
60,6000,0.0,,4356.3578372299735,100
70,7000,0.0,,6043.607490068797,100
80,8000,0.0,,4912.973903197392,100
90,9000,0.0,,4805.996039632991,100
100,10000,0.0,,4833.782937753609,100
110,11000,0.0,,8658.932891822858,100
120,12000,0.0,,6104.395717531718,100
130,13000,0.0,,5529.94454149863,100
140,14000,0.0,,6365.159863482746,100
150,15000,0.0,,8535.38931340403,100
160,16000,0.0,,5159.238110350429,100
170,17000,0.0,,5213.99631138284,100
180,18000,0.0,,8575.506748083362,100
190,19000,0.0,,7794.09612917463,100
200,20000,0.0,,7311.444879136606,100
