generation,n_evaluations,hypervolume,igd_plus,spacing,n_solutions
0,100,3.027923300693676,,0.06614506609942056,100
10,1100,3.010427714048047,,0.0553475344318967,100
20,2100,3.3120384172648762,,0.07262575330740953,100
30,3100,3.08669450753414,,0.07616397837289905,100
40,4100,3.3356619699146077,,0.06626963108163356,100
50,5100,3.287565999843239,,0.0608045806781339,100
60,6100,3.52732984794474,,0.0633674896957558,100
70,7100,3.5039049873932453,,0.0703044509832486,100
80,8100,3.519567523892753,,0.09351333575379593,100
90,9100,3.50847902570655,,0.08676679938930651,100
100,10100,3.55192810651806,,0.09364272499665519,100
110,11100,3.465185296904145,,0.12021414909791565,100
120,12100,3.468489567587205,,0.11444748361955977,100
130,13100,3.3172988554101988,,0.08970825595733621,100
140,14100,3.3587321561816745,,0.05940120392012169,100
150,15100,3.4459242782187314,,0.06128557989836039,100
160,16100,3.6112290680205614,,0.06254508037346614,100
170,17100,3.5809388258349726,,0.05611798875737598,100
180,18100,3.6023042946413875,,0.06281342927093106,100
190,19100,3.5168341131016243,,0.05455002794978358,100
