Date;Time;"Celle 6: Lufttemperatur";"Celle 6: Endelig fælles varme sætpunkt";"Celle 6: Vent. position 1";"Celle 6: Vent. position 2";"Celle 6: Luftfugtighed RH%";"Celle 6: Luftfugtighed VPD";"Celle 6: CO2";"Celle 6: CO2 krav";"Celle 6: CO2 dosering";"Celle 6: ";"Celle 6: ";"Celle 6: Lys intensitet";"Celle 6: Gardin 1 position";"Celle 6: Solindstråling";"Celle 6: Udetemperatur";"Celle 6: Flow temperatur 1";"Celle 6: Flow temperatur 2"
2014-04-01;00:00:00;"20.8098";"21";"0";"0";"52.687";"11.6738";"681.17";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,15931";"40,6456";"46,394"
2014-04-01;00:10:00;"20,9742";"21";"0";"0";"51,9817";"11,9796";"679,38";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,23583";"40,7377";"44,3002"
2014-04-01;00:20:00;"21,1678";"21";"0";"0";"51,962";"12,1342";"677,03";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,44837";"40,7482";"41,1459"
2014-04-01;00:30:00;"21,319";"21";"0";"0";"52,1302";"12,209";"670,316";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,47388";"40,5061";"37,0634"
2014-04-01;00:40:00;"21,3834";"21";"0";"0";"52,3318";"12,2088";"662,819";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,6014";"40,8561";"36,1316"
2014-04-01;00:50:00;"21,3709";"21";"0";"0";"53,1076";"12,0014";"654,762";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,71193";"40,8035";"34,6946"
2014-04-01;01:00:00;"21,2694";"21";"0";"0";"54,2813";"11,6272";"647,824";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,68642";"40,2244";"32,6258"
2014-04-01;01:10:00;"21,1727";"21";"0";"0";"54,5951";"11,4769";"637,306";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,79695";"40,6508";"31,2677"
2014-04-01;01:20:00;"21,0919";"21";"0";"0";"55,0881";"11,2927";"635,18";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,90747";"40,4034";"30,5254"
2014-04-01;01:30:00;"20,9893";"21";"0";"0";"55,344";"11,1552";"628,354";"350";"0";"0";"0";"0";"100";"9,22917e-008";"3,96698";"40,3903";"29,5121"
2014-04-01;01:40:00;"20,8794";"21";"0";"0";"55,7178";"10,9827";"624,885";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,069";"40,5061";"29,9464"
2014-04-01;01:50:00;"20,8";"21";"0";"0";"56,0762";"10,8368";"622,535";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,10301";"40,7561";"32,3836"
2014-04-01;02:00:00;"20,7694";"21";"0";"0";"56,3041";"10,7587";"611,345";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,13702";"40,5534";"34,9999"
2014-04-01;02:10:00;"20,7911";"21";"0";"0";"56,597";"10,7003";"607,093";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,20503";"40,8561";"36,7502"
2014-04-01;02:20:00;"20,8992";"21";"0";"0";"56,7404";"10,738";"602,057";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,28155";"40,4403";"35,9105"
2014-04-01;02:30:00;"20,9879";"21";"0";"0";"56,7799";"10,7904";"596,686";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,28155";"40,7877";"35,9237"
2014-04-01;02:40:00;"21,0679";"21";"0";"0";"56,7694";"10,8512";"597,917";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,28155";"40,8509";"34,563"
2014-04-01;02:50:00;"21,1185";"21";"0";"0";"56,6148";"10,9245";"594,001";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,31555";"40,7298";"33,0522"
2014-04-01;03:00:00;"21,1434";"21";"0";"0";"56,6255";"10,9407";"595,679";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,5455";"31,1703"
2014-04-01;03:10:00;"21,1486";"21";"0";"0";"56,6439";"10,9401";"581,356";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,46008";"40,4061";"30,428"
2014-04-01;03:20:00;"21,1194";"21";"0";"0";"56,6928";"10,9085";"584,042";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,40057";"40,8035";"29,5542"
2014-04-01;03:30:00;"21,0528";"21";"0";"0";"56,9604";"10,797";"582,699";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,30705";"40,535";"29,6911"
2014-04-01;03:40:00;"20,972";"21";"0";"0";"57,3921";"10,6321";"599,148";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,28155";"40,2481";"30,7886"
2014-04-01;03:50:00;"20,9055";"21";"0";"0";"57,4364";"10,5732";"615,373";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,28155";"40,6929";"31,7888"
2014-04-01;04:00:00;"20,8743";"21";"0";"0";"57,3895";"10,562";"626,004";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,34956";"40,7403";"33,2706"
2014-04-01;04:10:00;"20,8916";"21";"0";"0";"57,4783";"10,5515";"635,851";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,9535";"34,4761"
2014-04-01;04:20:00;"20,9371";"21";"0";"0";"57,7525";"10,5145";"656,664";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,7193";"33,8839"
2014-04-01;04:30:00;"20,9706";"21";"0";"0";"57,8046";"10,5257";"669,421";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,8324";"34,0523"
2014-04-01;04:40:00;"20,9906";"21";"0";"0";"57,7565";"10,5511";"681,842";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,6824";"34,3498"
2014-04-01;04:50:00;"21,0028";"21";"0";"0";"57,6446";"10,5858";"692,137";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,32405";"40,943";"34,3734"
2014-04-01;05:00:00;"20,9931";"21";"0";"0";"57,5714";"10,5991";"685,087";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,32405";"40,6061";"34,2418"
2014-04-01;05:10:00;"20,9894";"21";"0";"0";"57,468";"10,6213";"694,486";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,38357";"40,0323";"33,8549"
2014-04-01;05:20:00;"21,0036";"21";"0";"0";"57,6414";"10,5892";"692,472";"350";"0";"0";"0";"0";"100";"9,22917e-008";"4,45158";"40,8035";"34,3629"
